SMILES,Solubility
CN(C)c1ccc(cc1)N=Nc2cccc(C)c2,-5.7769
OC(=O)CSSSSCC(O)=O,-1.452
Oc1cccc2ccnnc12,-2.4089
CCOC(=O)c1nn(c2ccc(Cl)cc2Cl)c(n1)C(Cl)(Cl)Cl,-5.6516
CCCCCOC(=O)CCCNC(=O)NC1CCCCC1,-2.3
CCN2c1ncccc1N(CC)C(=O)c3cccnc23 ,-2.86
CCC1C(N)CN1C1=CC2=C(C=C1F)C(=O)C(C(=O)O)=CN2C1CC1,-3.91
Clc1cccc(Oc2ccccc2)c1,-4.2107
COC(=O)CC#N,-0.2636316857
COC(=O)C(C)N(C(=O)c1occc1)c2c(C)cccc2C,-3.1173
NC1=CC=C(C=C1)[S](=O)(=O)NC2=CC(=CC=C2Cl)Cl,-4.4
ClCCOCOCCCl,-1.3461
CCCCSC(SCc1ccc(cc1)C(C)(C)C)=Nc2cccnc2,-5.5712
CCC1CCC(O)O1,-0.0651
c1ccccc1OC,-1.85
NC(=O)OCCCCC,-1.47
OC(=O)COCC(O)=O,0.4927
CN(Cc1cc(Br)cc(Br)c1N)C2CCCCC2,-1.9733
CN1C(c2ccc(Cl)cc2)[S](=O)(=O)CCC1=O,-2.0394
CC/C=C/CCOC(=O)OC,-3.0698306477
CC(C)(COCc1cccc(Oc2ccccc2)c1)c3ccc(OC(F)(F)Br)cc3,-9.9799
CCCCCCCCCCCCN(CCCN)CCCN,-0.1977113735
FC(F)(F)c1nc(Cl)sc1C(=O)OCc2ccccc2,-5.8085
C(CCCN=C\C=C\c1ccccc1)CCN=C/C=C/c2ccccc2,-3.8937390711
CC(C)C1C(C)CCCC1O,-0.29
COC1=CC2=CC=C(C(C)C(=O)OCCCO)C=C2C=C1,-3.4
C[C@H](CCC=C(C)C)CC=O,-3.243750947
CCCCCCCCCCCCCCCCCCSSCCCCCCCCCCCCCCCCCC,-6.057758885499999
C1(NC(C(c2ccccc2)(C(=O)N1)CC)=O)=O,-2.29
O=C1OC(C2=CC=CC=C2)(C3=CC=CC=C3)C4=C1C=CC=C4,-3.85
Oc1c(Cl)cc(Cl)cc1[N+]([O-])=O,-4.0876
CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,-4.1708247593
Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl,-8.6036
[nH]1ccnc1c2ccccc2,-1.8893830404
Nc1cc(Cl)nc(C(O)=O)c1Cl,-0.0042500518
CCOC(=O)C(C)N(C(=O)c1ccccc1)c2ccc(Cl)c(Cl)c2,-4.2627
NC(=S)SCC(O)=O,-0.7482
CCC1(C)OC(=O)NC1=O,0.0203
Oc1cc(O)c2C(=O)c3ccccc3C(=O)c2c1O,-4.6024
ClC1=C(Cl)C(Cl)(Cl)C(Cl)(Cl)C1(Cl)Cl,-6.5362
Oc1ccc(Cl)c(Cl)c1Cl,-2.67
C[N@]1C[C@@H]2C[C@H]1CN2c1c(cc2c(n(cc(C(=O)O)c2=O)C2CC2)c1)F,-2.9
COc1cc(Cl)c(OC)cc1N,-3.0061212915
CC(C)O[P](F)(=O)OC(C)C,-1.0777
NC1=NC2=C(C=N1)N=CN2CCC1COC(=O)OC1,-1.43
COc1ccc2CCCCc2c1,-2.7477385243
CC(C)(C)[S](=O)(=O)C(C)(C)C,-1.2177
CCCSC1=CC2=C([NH]C(=N2)NC(=O)OC)C=C1,-4.22
CCCNC(=O)C1=CC(=C(C=C1[N+]([O-])=O)[N+]([O-])=O)N2CC2,-3.89
ClC1=CC=CC(=C1)OC2=CC(=C(Cl)C=C2Cl)Cl,-7.27
Clc1cccc(c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,-8.4206
OC(=O)c1cccc(C=O)c1O,-2.4423
OC(=O)c1cc(ccc1O)[N+]([O-])=O,-2.2627334080000003
CC(C)(C)CO,-0.4012
NC(=O)c1ccccn1,0.1685
N[C@H](Cc1ccc(O)cc1)C(O)=O,-2.6049
CCc1cc(C)cc(O)c1,-1.7696
OCC(O)COC(=O)C1=C(NC2=C3C=CC(=CC3=NC=C2)Cl)C=CC=C1,-4.54
CCCCCCOC(=O)N1C=C(F)C(=O)NC1=O,-2.24
CCC(=O)OCc1ccccc1,-2.344979827
[O-][N+](=O)N1CN(CN(CN(C1)[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,-4.8251168095
Oc1ccc(C2CCCCC2)c(O)c1,-2.5763
CCOc1ccc(cc1)C(O)=O,-2.4548997462
Oc1cccc(O)c1,1.0034883278
NC(=O)N1C2=C(C=CC=C2)C=CC3=C1C=CC=C3,-3.29
CC[NH+](C)CC,0.713
CCC(=O)[N]1N=CC2=C1N=CNC2=O,-2.81
CC(CN(C)C)CN1C2=C(CCC3=C1C=CC=C3)C=CC=C2,-4.79
FC=C,-0.276
CCO[P](=S)(OCC)SCN1N=Nc2ccccc2C1=O,-4.5171
CSSC,-1.4969
c(c(cc(c1ccc2)c2)cc(c3ccc4)c4)(c1)c3,-8.6
CC(SSC(C)C(=O)O)C(=O)O,-0.62
O=C(NC1=CC=CC=C1)C(O)COC1=CC=CC=C1,-2.41
NC(=NO)N1CC2=CC=CC3=C2C(CCC3)C1,-1.35
O=C1c2ccccc2c3ccc4Sc5ccccc5c6ccc1c3c46,-7.9828073074
CCCCCCCC(=O)OC[N]1C=NC2=C1C(=O)N(C)C(=O)N2C,-3.45
Clc1ccccc1c2c(Cl)cc(Cl)c(Cl)c2Cl,-7.4346
NC1=NC(=C(C=C1)N=NC2=CC=CC=C2)N,-4.24
CCCC(N)C(O)=O,-0.11
CCOC(=O)CCCCC(O)=O,-0.3602
OC(=O)\C=C\c1ccccc1,-2.4335
CN1N=C(SC1=N[S](=O)(=O)C2=CC=CC(=C2)N)[S](N)(=O)=O,-2.45
CCOC(=O)c1ccc(O)c(I)c1,-3.4924
CCCCCOC(=O)CCOCC,-2.1956
O=C1Cc2c(O1)ccc3ccccc23,-2.7078
CO[P](=O)(Oc1ccccc1)Oc2ccccc2,-2.1209
C2c1ccccc1N(CCF)C(=O)c3ccccc23 ,-3.535
CC/C(C)=C/CC/C(C)=C/C#N,-3.5896411422
CC1(C)C2CC=C(CCC=O)C1C2,-3.4657606101
[O-][N+](=O)C(Br)([N+]([O-])=O)[N+]([O-])=O,-1.7705
ClC1=C(Cl)C(=C(OC2=CC=C(Cl)C(=C2Cl)Cl)C=C1)Cl,-8.14
CC(C)CC(NC(=O)C(C)NC(=O)CN)C(=O)NC(C(=O)O)C(C)C,-2.13
CI,-1.2145838492
[NH]1C=CC2=C1C=CC=C2,-1.21
COc1cc(ccc1N=NC(C(C)=O)C(=O)Nc2ccccc2)c3ccc(N=NC(C(C)=O)C(=O)Nc4ccccc4)c(OC)c3,-8.6167666964
CNC(CC(O)=O)C(O)=O,-0.7544
CCC(=O)C(C)=O,-0.1764
Cc1ccc(Cl)cc1N,-2.0718850743
CC(=O)CC(O)=O,0.991
C1Cc2ccccc2N1,-1.0427
O=C(O)C=CC(=O)NC1=CC=CC=C1,-2.72
CC(C)CCCC(C)CCCC(C)(O)C#C,-4.953059618999999
CCOC(=O)C(Cl)C(=O)OCC,-1.7209723549
c1ccc2c(c1)ccc3cc4ccc5ccccc5c4cc23,-8.4318
CCOc1ccccc1,-2.3318416428
CCN(CC)C(=O)NC1CN(C)C2CC3=C(Br)[NH]C4=C3C(=CC=C4)C2=C1,-4.38
CCCCCCCCl,-3.9957
NCC(O)=O,0.92
C[C@](N)(Cc1ccc(O)c(O)c1)C(O)=O,-1.3247
CC(=O)NC(CC1=CC=C(O)C=C1)C(=O)O,0.01
OC(C(O)c1ccccc1)C(O)=O,-0.3063
CCO[P](=O)(OCC)O[P](=O)(OCC)OCC,0.5373
CC(NC=O)C#N,1.0083088579
CC(Cl)C(Cl)(Cl)C(O)O,-0.8666
CCCO[P](=S)(OCCC)O[P](=S)(OCCC)OCCC,-4.1009
N#CC1(CC[NH+](CC1)Cc2ccccc2)[NH+]3CCCCC3,-2.2459922106
CC1=CC(C)=NC(OC2=NN(C)C(C)=C2)=N1,-1.52
CCN1C=CC(=NC1=O)N[S](=O)(=O)C2=CC=C(NC(C)=O)C=C2,-2.71
OC(=O)CN(CCC#N)CCC#N,0.4578
Cc1cc(Cl)ccc1O,-1.5519999999999998
C1=C(SC(=C1)[N+](=O)[O-])C(=O)NN,-1.97
CCCC(O)=O,-0.1669
NC1=NC(=O)N(C2CC(F)C(CO)O2)C=C1,-1.18
S(Cc1oc(CN(C)C)cc1)CCN\C(NC)=C\N(=O)=O,-2.5
CCC1(C(=O)NCNC1=O)c2ccccc2,-2.64
CC=C(Cc1ccccc1)C(O)=O,-2.5648
CC(=O)O[C@H]1C[C@H]2CC[C@@]1(C)C2(C)C,-3.0887781924
CN1C2=C(C=CC=C2)C(=O)C2=C1C=CC=C2,-4.46
CCCCCCCCCCCC[N+](C)(C)CC(O)C[S]([O-])(=O)=O,0.2865181043
CC[S](=O)(=O)Oc1ccc2OCC(C)(C)c2c1,-2.9921
CCC(C)C1(CC(Br)=C)C(=O)NC(=O)NC1=O,-2.65
CC(C)O[P](=S)(OC(C)C)SCCN[S](=O)(=O)c1ccccc1,-4.2014
CC(=O)OCCOC(C)=O,0.068474963
[Ta],-6.9291741838
Brc1ccc(Br)cc1,-4.0717
O[S](=O)(=O)c1cccc2C(=O)c3c(cccc3[S](O)(=O)=O)C(=O)c12,0.2572
O=C1C[C@@H]2OCC=C3CN4CC[C@@]56[C@@H]4C[C@@H]3[C@@H]2[C@@H]5N1c7ccccc67,-3.3202
CNC(=O)OC1=C2OC(C)(C)CC2=CC=C1,-2.42
c1ccc2ncccc2c1,-1.325093551
COc1c(cccc1C(O)=O)C(O)=O,-2.2926
BrC(Br)(Br)Br,-3.1404
Cc1ccc(Sc2ccc(cc2)C(=O)c3ccccc3)cc1,-7.6154082599
Nc1ccc(cc1)[S](=O)(=O)Nc2sc(cn2)C(O)=O,-2.8741
Clc1ccc(Cl)c(N\N=C2/C(=O)C(=Cc3ccccc23)C(=O)Nc4ccc5NC(=O)Nc5c4)c1,-7.461800321799999
C/C=C(\C)/C(=O)OC1C(C2(C(CC1(C)C)C3=CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)CO)OC6C(C(C(C(O6)C(=O)O)OC7C(C(C(C(O7)CO)O)O)O)O)OC8C(C(C(C(O8)CO)O)O)O)C)CO)OC(=O)C,-1.1031036675
ClC(Cl)C(Cl)C(Cl)Cl,-2.7223
COc1cccc(OC)c1O,-0.9525
OCC(CO)(CO)COCC(CO)(CO)CO,-1.9582
CC(=O)NC1=CC=C(C=C1)C(=O)NC2=CC=C(OC(C)=O)C=C2,-4.41
CCCCCCCCC(=O)NNC(=O)C1=CC=NC=C1,-3.52
NC(=O)OC(CCl)CCl,-1.3605
CC1=NC=C(CO)C(C=NC(C(=O)O)C(C)C)=C1O,-1.6
Clc1cc(Cl)c2cc(Cl)cc(Cl)c2c1,-7.8228
CCCCCCCCCCCCCCCOC(=O)/C=C/C(=O)OCCCCCCCCCCCCCCC,-6.5537875846
CC(NC(=O)CC1=CC=CC=C1)C1=CC=CC=C1,-3.19
COC(=O)C1(CC1)[S](=O)(=O)c2ccc(C)cc2,-2.8803
ClC1=C(Cl)C(Cl)=C2OC3=CC=CC=C3OC2=C1Cl,-8.77
CC1=C2C=CC3=C(C=CC=C3)C2=C(C)C4=C1C=CC=C4,-6.78
COC1=CC(C(=O)O)=C(C(=O)O)C=C1O,-1.21
OC(=O)c1cccc(c1)[N+]([O-])=O,-1.7459071723
N[S](=O)(=O)c1ccc(CCCO)cc1,-1.032
CCCCOC(=O)c1ccccc1,-3.4801
O=C1NC2=C(N=CNC2=O)N=C1,-2.96
CC12CCC3C(CCC4CC(=O)CCC34C)C1CC=C2,-6.07
Cc1cccc(O)c1[N+]([O-])=O,-1.64
NC1=CC=CN=C1N,-1.75
OCc1ccc(cc1)[N+]([O-])=O,-1.8841
Cc1cc2NC(=O)Nc2cc1N,-1.9771384819
CC(CN1CC(C)OC(C)C1)Cc2ccc(cc2)C(C)(C)C,-2.4821
COc1ccc2Nc3cc(Cl)ccc3Sc2c1,-4.9787
OC(=O)CC(C(CC(O)=O)C(O)=O)C(O)=O,-0.18
CCO[P](=O)(OC)OC,0.5112
CCOC(=O)C(NC=O)=Cc1cocc1,-2.7477
O=C(c1ccccc1)c2ccccc2,-3.882202908
COCNC(=O)C(C)=C,0.7919653131000001
Cc1cc2N=C3C(=O)NC(=O)N=C3N(CC(O)C(O)C(O)CO)c2cc1C,-3.6478
Cc1ccc(C(N)=O)c(O)c1,-2.9170001587
CCCC(=O)OCC1OC(CC1O)N2C=C(I)C(=O)NC2=O,-2.84
CCCCC(CC)COC(=O)C(C)=C,-4.8059741607
CC(C)OC(=O)CCCCC(=O)OC(C)C,-3.1070289759
COC1C(CC2CN3CCC4=C([NH]C5=C4C=CC(=C5)OC)C3CC2C1C(=O)OC)OC(=O)C6=CC(=C(OC)C(=C6)OC)OC,-5.97
COc1ccccc1NC(=O)C2=Cc3ccccc3C(=N/Nc4cc(Cl)ccc4Cl)\C2=O,-8.4645677849
Cc1ccccc1NC(=O)c2cc3ccccc3cc2O,-4.6234419541000005
Nc1ccc(cc1)[S](=O)(=O)Nc2scnn2,-2.8684
CCCCCCCCCCCCCCCC(=O)O[C@@H]1C[C@H](N(C1)C(=O)CCCCCCCCCCCCCCC)C(O)=O,-5.7838757207
FC(F)(F)c1ccc(Cl)c(N\N=C2/C(=O)C(=Cc3ccccc23)C(=O)Nc4cc(Cl)c(NC(=O)C5=Cc6ccccc6C(=N/Nc7cc(ccc7Cl)C(F)(F)F)\C5=O)cc4Cl)c1,-7.6922433716
O=C1NC(=O)C(C(=O)N1)(C2=CC=CC=C2)C3=CC=CC=C3,-4.2
COc1ccc(cc1O)[C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2,-5.0104856455
CC(SC1=CC=CC=C1)S(=O)(=O)O,-0.49
CCC(CC)(C(=O)NC(N)=O)C(=O)OCC1=CC=CC=C1,-3.66
COc1cc(cc(Cl)n1)C(Cl)(Cl)Cl,-4.3635
O=C1CCCCCN1C(=O)NCCCCCCNC(=O)N2CCCCCC2=O,-3.9064006561
CN(C)C(=S)Nc1ccc(Cl)cc1C,-3.6604
COC(C)=C,1.142
C1CCC\C=C/CC1,-3.770339988
CNC(=O)C=C(C)OP(=O)(OC)OC,0.6509999999999999
CC(CC(C)(C)C)C[P](O)(=O)CC(C)CC(C)(C)C,-4.366128471100001
CCCOC(=O)COc1ccc(Cl)cc1Cl,-4.2502
CCC1(C(=O)NC(=NC1=O)[O-])CC,-0.07
CCC1NC(=O)NC1(=O),-0.06
Cc1ccc(c(C)c1)[N+]([O-])=O,-3.0555996074
OCCN1C(=O)N(CCO)C(=O)N(CCO)C1=O,0.3403663284
CC1OC1C,0.3972950779
[nH]1cnc2ccccc12,-1.769197233
OC(=O)c1occc1,-0.4802
[O-][N+](=O)c1ccc(CCc2ccc(cc2)[N+]([O-])=O)cc1,-4.589885800199999
CC(=C)C=O,-0.0675110058
CCCCC1(CCO)C(=O)NC(=S)NC1=O,-2.17
CN(C)CCCOC1(CC2=CC=CC=C2)CCCCCC1,-1.62
Nc1ccc(Cl)cc1C(F)(F)F,-2.2934813757
CC(C)NC1=NC(=NC(=O)N1)NC(C)C,-2.81
N[S](=O)(=O)C1=CC2=C(SCCC2O)S1,-2.59
C(COc1ccccc1)Oc2ccccc2,-3.9885265275
CCCCc1c(C)nc(NCC)nc1O[S](=O)(=O)N(C)C,-4.1579
CCC(C)(C)C,-3.55
Cc1ccn2nc(nc2n1)[S](=O)(=O)Nc3c(F)cccc3F,-3.8248
Cc1c(Cl)cccc1Cl,-3.7919361419
COc1cc(ccc1N)c2ccc(N)c(OC)c2,-3.6098
CC1=CC=CC=C1N2C(=NC3=C(C=CC=C3)C2=O)C,-2.92
CCCCCCCCCCCCCCCCOC(=O)OOC(=O)OCCCCCCCCCCCCCCCC,-5.7565570001
COc2ccc1C(OC(=O)c1c2OC)C4N(C)CCc5cc3OCOc3c(OC)c45,-3.14
CC(C)(OO)c1ccccc1,-1.0393798776
NCCCCC(O)=O,0.9313
CC(C)(O)C#C,1.0751110617
COC(=O)C1(O)c2ccccc2c3ccc(Cl)cc13,-4.1836
CCOCCc1ccc(OCCNc2ncnc(CC)c2Cl)c(C)c1C,-5.2409
CC(C)c1ccc(cc1)C(C)C,-6.6027992709
CCC=CC,-2.54
COCCOCCOCCOCCOC,0.6530976581
CCCC(CCC)(C(=O)NO)C1=CC=CC=C1,-2.89
Nc1ncnc2n(cnc12)C3OC(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)C(O)C3O,0.2948
OC1=CC=CC=C1,-0.04
CCCCCCCCCCCCOC(=O)CCSCCC(=O)OCCCCCCCCCCCC,-5.711686621799999
C\C=C/C(O)=O,1.065
CN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1,-4.5238
CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.3876832538
O=[S]=O,0.2235
[nH]1c2ccccc2nc1c3cscn3,-3.6048
BrCc1ccc(cc1)c2ccccc2C#N,-6.6566491092
CC(C)(OC1CCCCC1)C(O)=O,-1.0798
CCCCNC(=O)OCC#CI,-3.2033373628
CCN1C=CC(=NC1=O)N[S](=O)(=O)C2=CC=C(N)C=C2,-2.23
OC(=O)c1cc(I)cc(I)c1O,-3.307
OC(=O)c1ccccc1c2ccccc2C(O)=O,-2.2839
CC(=O)Nc1ccc(Br)cc1C,-1.756
COCCOc1ccccc1[S](=O)(=O)NC(=O)Nc2nc(OC)nc(OC)n2,-3.5372
ClC1=CC(=CC(=C1)Cl)OC2=C(Cl)C(=C(Cl)C=C2)Cl,-7.86
CCN(CC)C(=O)N(CC)CC,-0.6341
COc1ccccc1N\N=C2/C(=O)C=Cc3ccccc23,-8.9260164319
CC12CC(O)C3(F)C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO,-3.68
C/C=C(c1ccc(O)cc1)/C(=C/C)c2ccc(O)cc2,-4.948
CC(CCOC=O)CCC=C(C)C,-4.0559608323
CC(CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2,-1.27
CN1CCC23C=CC=CC2C1CC1=C3C(O)=C(O)C=C1,-1.72
CC1=C(C=C)/C(NC1=O)=C/c2[nH]c(Cc3[nH]c(\C=C\4NC(=O)C(=C4C)C=C)c(C)c3CCC(O)=O)c(CCC(O)=O)c2C,-4.8127
CCCCCCCCCCCCCCOC(=O)C=C,-4.428848848
O[S](=O)(=O)c1c(Br)c(Br)c(Br)c(Br)c1Br,-2.0061
CC(C)(C)c1ccc(CCC=O)cc1,-3.1588329057
CN(C(=O)N(C)c1ccccc1)c2ccccc2,-3.4975575811
OC(=O)CCCOC1=CC=C(Cl)C=C1,-3.29
CC(C)(C)N,1.1358509819
CN(CC1=NC2=C(N=C1)N=C(N)N=C2N)C3=CC=C(C=C3)C(=O)NC(CCC(O)=O)C(O)=O,-4.0
NC1=NC(=O)N(C=C1)[C@H]2CC[C@@H](CO)O2,-0.4416
Cc1ccc(OCC(O)=O)cc1,-2.1414
OC1=C(C2CCCC3=CC=CC=C23)C(=O)OC4=CC=CC=C14,-4.86
O=C1NC2=C(CCC2)C(=O)N1C3CCCCC3,-4.5916
CN[S](=O)(=O)c1cc(OC)c(N\N=C2/C(=O)C(=Cc3ccccc23)C(=O)Nc4ccc5NC(=O)Nc5c4)cc1C,-8.2171679788
CCOc1ccccc1NC(=O)c2cc3ccccc3cc2O,-5.1866018088
CCCCCCCCCCCC(=O)OCCC(C)C,-6.733128222
CCCCCCCCCCNC(=O)OCC1OC(O)C(O)C(O)C1O,-3.56
Cc1ccc(cc1C)C([O-])=O,-3.0653
BrC1=CC=CC(NC2=NC=NC3=CC4=C(C=NN4)C=C32)=C1,-3.96
Ic1ccccc1,-3.01
COC(OC(C)=O)C(OC(C)=O)C(OC(C)=O)C(COC(C)=O)OC(C)=O,-1.82
CCCCOC(=O)COc1ccc(Cl)cc1Cl,-3.78
C1C=CCC=C1,-2.0587
[O-][N+](=O)OCCO[N+]([O-])=O,-1.3495
CCC(C)C1NC(=O)C(CC2=CC3=C(C=CC=C3)C=C2)NC(=O)C4CCCN4C(=O)C(CC5=C[NH]C=N5)NC(=O)C6CCCCN6C(=O)C7CCCCN7C1=O,-3.98
CCCCN(CC)C1=NC(=NC(=N1)N=[N+]=[N-])N,-3.52
CC(C)O[P](S)(=S)OC(C)C,-0.5528547078
OC(CN1CCCCC1)C1=C2C=CC=CC2=C(Cl)C=C1,-1.55
CC1=C(C(N)=O)C(=O)N(CCC(O)=O)C(=C1)O,-1.6024488726
OCC(O)C(O)C1=NN(C2=CC=CC=C2)C2=C1N=C1C=CC=CC1=N2,-3.13
COC1=CC=C2C=C(C(C)C(=O)OCC(O)CO)C=CC2=C1,-2.62
COc1cc(C=O)c(C)cc1O,-2.7435
CCCCC(C)C,-4.5961
C1=CC=C(C=C1)C2=C(C(=CC=C2)O)[N+](=O)[O-],-3.95
C1COC2(C1)CC3CC2C4CCCC34,-5.941561120199999
OC(=O)COc1ccccc1,-1.1031
CCCCCO,-0.6027996358
COc1cc(ccc1C(O)=O)C(O)=O,-1.9916
OC(=O)c1cccc2cccc(c3cccc4cccc(C(O)=O)c34)c12,-2.2334403365
CCC(COC(=O)CCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCCCCCC(C)C)COC(=O)CCCCCCCCCCCCCCC(C)C,-7.2711824653
CCC1=C2C=CC=CC2=NC(CN)=C1C,-1.48
CCCCCCCC=C,-5.052
CN1CCCCC1C(=O)NC2=C(C)C=CC=C2C,-1.99
CCC(C)C(NC(C)=O)C(=O)O,-0.69
Oc1ccc(C=C)cc1C=C,-3.3940626837
O=[Mn],-4.921453892
COc1ccc(NC(=O)CC(C)=O)cc1,-1.9014771833
CN(C(=O)COc1sc2ccccc2n1)c3ccccc3,-4.8727
CC(C)N,1.2283
FC(F)(F)C1=CC=CC(=C1)N2CC(CCl)C(Cl)C2=O,-4.05
Cc1ccc2nc3SC(=O)Sc3nc2c1,-5.3698
CC1(C)OC(CN1C(=O)C(Cl)Cl)c2occc2,-3.1498
CC1=C(C2=CC=CC=C2C=C1)[N+](=O)[O-],-4.27
CCOc1ccccc1\C=C/C(O)=O,-2.5234
ClC1=CC(=C(COC(C[N]2C=CN=C2)C3=CC=C(Cl)C=C3Cl)C=C1)Cl,-5.08
OC(=O)/C=C(Cl)/C1=CC=CC=C1,-2.77
O=C(/C=C/C=C/c1ccc2OCOc2c1)N3CCCCC3,-3.853
CCc1nn(C)c(C(=O)NCc2ccc(cc2)C(C)(C)C)c1Cl,-5.1086
ClC(Cl)(Cl)C#N,-2.168
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,-7.3970339946
CC(C)C1C(=O)NC(=O)NC1=O,-1.4556
C\C=C1/CC2CC1C=C2,-3.1767964148
CCc1cccc(C)n1,-0.8234
Cc1ncc2nc(C)c(C)nc2n1,-1.1442
CNC(=O)OCc1ccc(Cl)c(Cl)c1,-3.1389
CC(=O)OC1=CC=C(CC(NC(=O)C2=CC=CC=C2)C(N)=O)C=C1,-3.89
[O-][N+](=O)c1ccccc1C=O,-1.8138
O=[Zn],-4.448167714599999
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)CO,-3.7446
NC(=O)C[NH+](CC([O-])=O)CC([O-])=O,-1.7635818574000002
CN(C)C(=O)SCCCCOc1ccccc1,-3.9266
CCNC(=S)N1CCN(C(=O)OCC)CC1,-1.79
OC(=O)C(I)=C(Br)I,-1.2891
CC(CC=O)CC(C)(C)C,-2.6759065954
OCNC(=S)C1=CC=CC=C1,-1.14
CC(C)CCCCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCCCCC(C)C,-5.708288296799999
CN(C)N=NC1=CC=C(C(=O)O)C=C1,-0.8
OC(=O)C1=CC(=CC=C1)C#N,-2.63
C[N]1C(=NC=C1[N+]([O-])=O)C,-1.16
NC(=O)CNC(=O)COC(=O)c1ccccc1,-1.4983
CCC(=O)N(C)C1=CC=C(C=C1)[S](=O)(=O)N(C)C,-2.48
CC(Cl)C(C)(C)O,-0.2926
CC(C)=CCCc1ccc2C(=O)c3ccccc3C(=O)c2c1,-7.985818524400001
CCC1=C(CCCC1)C2(CC)C(=O)NC(=O)NC2=O,-3.53
CCN(CC)c1ccc2C=C(C(=O)Oc2c1)c3oc4ccc(cc4n3)[S](N)(=O)=O,-7.8310984133
N(c1ccccc1)c2ccc(Nc3ccccc3)cc2,-6.239449641499999
CC(=O)C(CC(O)=O)=Cc1ccccc1,-1.6111
COC1=CC2=CC=C(C(C)C(=O)OCCCCN3CCOCC3)C=C2C=C1,-3.7
CN(C)C(=O)NC1CCCCCCC1,-2.26
